Seviye,Min Speed ​​Range,Max Speed ​​Range,Rate of change of vehicle speed as energy balls are collected,Wrong Ball Speed Penatly (Rate),Path Length,Shield PowerUP,Speed PowerUP ( +2 Speed ),Time PowerUP,Duration of Effectiveness of PowerUPs (Sec),Time Limit(Sec),MAX IN GAME,Penalty Points Per Wrong Move
1,"2,00","4,00","0,10","50,00",12,0,0,0,5,90,"670,00","25,00"
2,"2,10","4,20","0,10","50,00",13,0,0,0,5,90,"715,00","25,00"
3,"2,21","4,41","0,10","50,00",14,0,0,0,5,90,"710,00","25,00"
4,"2,32","4,63","0,10","50,00",15,1,0,0,5,90,"730,00","25,00"
5,"2,43","4,86","0,10","50,00",16,1,0,0,5,90,"850,00","25,00"
6,"2,55","5,11","0,10","50,00",17,1,0,0,5,90,"820,00","25,00"
7,"2,68","5,36","0,10","50,00",18,1,1,0,5,90,"840,00","25,00"
8,"2,81","5,63","0,10","50,00",19,1,1,0,5,90,"860,00","25,00"
9,"2,95","5,91","0,10","50,00",20,1,1,0,0,90,"930,00","25,00"
10,"3,10","6,21","0,10","50,00",21,1,1,1,5,90,"950,00","25,00"
11,"3,26","6,52","0,10","50,00",22,1,1,1,5,90,"970,00","25,00"
12,"3,42","6,84","0,10","50,00",23,1,1,1,5,90,"990,00","25,00"
13,"3,59","7,18","0,10","50,00",24,1,1,1,5,90,"1060,00","25,00"
14,"3,77","7,54","0,10","50,00",25,1,1,1,5,90,"1080,00","25,00"
15,"3,96","7,92","0,10","50,00",26,1,1,1,5,90,"1100,00","25,00"
16,"4,16","8,32","0,10","50,00",27,1,1,1,5,90,"1120,00","25,00"
17,"4,37","8,73","0,10","50,00",28,1,1,1,5,90,"1190,00","25,00"
18,"4,58","9,17","0,10","50,00",29,1,1,1,5,90,"1210,00","25,00"
19,"4,81","9,63","0,10","50,00",30,1,1,1,5,90,"1230,00","25,00"
20,"5,05","10,11","0,10","50,00",31,1,1,1,5,90,"1250,00","25,00"
21,"5,31","10,61","0,10","50,00",32,1,1,1,5,90,"1320,00","25,00"
22,"5,57","11,14","0,10","50,00",33,1,1,1,5,90,"1340,00","25,00"
23,"5,85","11,70","0,10","50,00",34,1,1,1,5,90,"1360,00","25,00"
24,"6,14","12,29","0,10","50,00",35,1,1,1,5,90,"1380,00","25,00"
25,"6,45","12,90","0,10","50,00",36,1,1,1,5,90,"1450,00","25,00"
26,"6,77","13,55","0,10","50,00",37,1,1,1,5,90,"1470,00","25,00"
27,"7,11","14,22","0,10","50,00",38,1,1,1,5,90,"1490,00","25,00"
28,"7,47","14,93","0,10","50,00",39,1,1,1,5,90,"1510,00","25,00"
29,"7,84","15,68","0,10","50,00",40,1,1,1,5,90,"1580,00","25,00"
30,"8,23","16,46","0,10","50,00",41,1,1,1,5,90,"1600,00","25,00"
31,"8,64","17,29","0,10","50,00",42,1,1,1,5,90,"1620,00","25,00"
32,"9,08","18,15","0,10","50,00",43,1,1,1,5,90,"1640,00","25,00"
33,"9,53","19,06","0,10","50,00",44,1,1,1,5,90,"1710,00","25,00"
34,"10,01","20,01","0,10","50,00",45,1,1,1,5,90,"1730,00","25,00"
35,"10,51","21,01","0,10","50,00",46,1,1,1,5,90,"1750,00","25,00"
36,"11,03","22,06","0,10","50,00",47,1,1,1,5,90,"1770,00","25,00"
37,"11,58","23,17","0,10","50,00",48,1,1,1,5,90,"1840,00","25,00"
38,"12,16","24,33","0,10","50,00",49,1,1,1,5,90,"1860,00","25,00"
39,"12,77","25,54","0,10","50,00",50,1,1,1,5,90,"1880,00","25,00"
40,"13,41","26,82","0,10","50,00",52,1,1,1,5,90,"1920,00","25,00"
41,"14,08","28,16","0,10","50,00",54,1,1,1,5,90,"2010,00","25,00"
42,"14,78","29,57","0,10","50,00",56,1,1,1,5,90,"2050,00","25,00"
43,"15,52","31,05","0,10","50,00",58,1,1,1,5,90,"2090,00","25,00"
44,"16,30","32,60","0,10","50,00",60,1,1,1,5,90,"2130,00","25,00"
45,"17,11","34,23","0,10","50,00",62,1,1,1,5,90,"2170,00","25,00"
46,"17,97","35,94","0,10","50,00",64,1,1,1,5,90,"2210,00","25,00"
47,"18,87","37,74","0,10","50,00",66,1,1,1,5,90,"2250,00","25,00"
48,"19,81","39,62","0,10","50,00",68,1,1,1,5,90,"2290,00","25,00"
49,"20,80","41,61","0,10","50,00",68,1,1,1,5,90,"2290,00","25,00"