Seviye,Min Speed ​​Range,Max Speed ​​Range,Degree of Difficulty For Speed Range,Rate of change of vehicle speed as energy balls are collected,Wrong Ball Speed Penatly (Rate),Path Length,Power Up Counts,Degree of difficulty For Path Lenth,Shield PowerUP,Speed PowerUP ( +2 Speed ),Time PowerUP,Duration of Effectiveness of PowerUPs (Sec),Time Limit(Sec),MAX IN GAME,Penalty Points,1000-Point Grading System
1,"2,00","4,00","1,09",0.1,"50,00",12,5,"1,1",0,0,0,5,90,"670,00","245,00",(Score/MAX IN GAME) * 1000
2,"2,18","4,36",,0.1,"50,00",13,6,,0,0,0,5,90,"724,00",,
3,"2,38","4,75",,0.1,"50,00",15,6,,0,0,0,5,90,"783,40",,
4,"2,59","5,18",,0.1,"50,00",16,7,,1,0,0,5,90,"848,74",,
5,"2,82","5,65",,0.1,"50,00",18,8,,1,0,0,5,90,"920,61",,
6,"3,08","6,15",,0.1,"50,00",19,9,,1,0,0,5,90,"999,68",,
7,"3,35","6,71",,0.1,"50,00",21,10,,1,1,0,5,90,"1086,64",,
8,"3,66","7,31",,0.1,"50,00",23,11,,1,1,0,5,90,"1182,31",,
9,"3,99","7,97",,0.1,"50,00",26,12,,1,1,0,5,90,"1287,54",,
10,"4,34","8,69",,0.1,"50,00",28,13,,1,1,1,5,90,"1403,29",,
11,"4,73","9,47",,0.1,"50,00",31,15,,1,1,1,5,90,"1530,62",,
12,"5,16","10,32",,0.1,"50,00",34,16,,1,1,1,5,90,"1670,68",,
13,"5,63","11,25",,0.1,"50,00",38,18,,1,1,1,5,90,"1824,75",,
14,"6,13","12,26",,0.1,"50,00",41,20,,1,1,1,5,90,"1994,23",,
15,"6,68","13,37",,0.1,"50,00",46,22,,1,1,1,5,90,"2180,65",,
16,"7,28","14,57",,0.1,"50,00",50,24,,1,1,1,5,90,"2385,71",,
17,"7,94","15,88",,0.1,"50,00",55,27,,1,1,1,5,90,"2611,29",,
18,"8,66","17,31",,0.1,"50,00",61,29,,1,1,1,5,90,"2859,41",,
19,"9,43","18,87",,0.1,"50,00",67,32,,1,1,1,5,90,"3132,36",,
20,"10,28","20,57",,0.1,"50,00",68,33,,1,1,1,5,90,"3190,00",,